task_id,series,system_name,display_label,metric_source,feasible_utility,ndcg_at_k,action_validity,compliance_rate,constrained_regret,oracle_utility
CARA_LO_CHEMBL3889262_IC50_0069,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,88.25000000000001,1.0,1.0,1.0,0.0,88.25000000000001
CARA_LO_CHEMBL4388634_IC50_0070,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,41.56000000000001,1.0,1.0,1.0,0.0,41.56000000000001
CARA_LO_CHEMBL4404752_IC50_0071,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,80.91,1.0,1.0,1.0,0.0,80.91
CARA_LO_CHEMBL4418470_EC50_0072,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,73.49999999999999,1.0,1.0,1.0,0.0,73.49999999999999
CARA_LO_CHEMBL4476912_IC50_0073,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,61.230000000000004,1.0,1.0,1.0,0.0,61.230000000000004
CARA_LO_CHEMBL4476963_IC50_0074,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,53.53999999999999,1.0,1.0,1.0,0.0,53.53999999999999
CARA_LO_CHEMBL4477153_IC50_0075,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,82.44999999999997,1.0,1.0,1.0,0.0,82.44999999999997
CARA_LO_CHEMBL4712750_IC50_0076,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,65.39999999999999,1.0,1.0,1.0,0.0,65.39999999999999
CARA_LO_CHEMBL4739819_EC50_0077,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,80.19,1.0,1.0,1.0,0.0,80.19
CARA_LO_CHEMBL641707_IC50_0078,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,54.18,1.0,1.0,1.0,0.0,54.18
CARA_LO_CHEMBL648337_IC50_0079,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,89.49000000000001,1.0,1.0,1.0,0.0,89.49000000000001
CARA_LO_CHEMBL652259_IC50_0080,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,76.48,1.0,1.0,1.0,0.0,76.48
CARA_LO_CHEMBL656248_IC50_0081,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,84.92,1.0,1.0,1.0,0.0,84.92
CARA_LO_CHEMBL658042_Ki_0082,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,84.41,1.0,1.0,1.0,0.0,84.41
CARA_LO_CHEMBL658217_Ki_0083,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,78.45,1.0,1.0,1.0,0.0,78.45
CARA_LO_CHEMBL663407_Ki_0084,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,76.82000000000001,1.0,1.0,1.0,0.0,76.82000000000001
CARA_LO_CHEMBL664960_Ki_0085,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,83.66999999999999,1.0,1.0,1.0,0.0,83.66999999999999
CARA_LO_CHEMBL819742_Ki_0086,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,72.58,1.0,1.0,1.0,0.0,72.58
CARA_LO_CHEMBL829091_IC50_0087,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,86.57,1.0,1.0,1.0,0.0,86.57
CARA_LO_CHEMBL830957_IC50_0088,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,79.79,1.0,1.0,1.0,0.0,79.79
CARA_LO_CHEMBL856174_IC50_0089,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,94.50000000000001,1.0,1.0,1.0,0.0,94.50000000000001
CARA_LO_CHEMBL863649_EC50_0090,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,80.28999999999999,1.0,1.0,1.0,0.0,80.28999999999999
CARA_LO_CHEMBL879102_Ki_0091,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,71.07000000000001,1.0,1.0,1.0,0.0,71.07000000000001
