comparison,metric,system_a,system_a_label,system_b,system_b_label,direction,n_cards,mean_delta,ci_low,ci_high,probability_delta_gt_zero
all_primary_pairs,raw_feasible_utility,similarity_to_best_active,Similarity-to-best-active baseline,random_valid,Random valid baseline,system_a_minus_system_b,91,4.819395604395602,3.898590659340658,5.748497252747248,1.0
all_primary_pairs,raw_ndcg_at_k,similarity_to_best_active,Similarity-to-best-active baseline,random_valid,Random valid baseline,system_a_minus_system_b,91,0.06402272281121547,0.051358905347597836,0.07626118136340058,1.0
all_primary_pairs,raw_action_validity,similarity_to_best_active,Similarity-to-best-active baseline,random_valid,Random valid baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_compliance_rate,similarity_to_best_active,Similarity-to-best-active baseline,random_valid,Random valid baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,feasible_utility,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,6.366703296703294,5.123009615384613,7.572528846153845,1.0
all_primary_pairs,ndcg_at_k,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.09115769969941766,0.07540415603058795,0.10631562700497231,1.0
all_primary_pairs,action_validity,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,compliance_rate,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_feasible_utility,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,6.366703296703294,5.123009615384613,7.572528846153845,1.0
all_primary_pairs,raw_ndcg_at_k,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.09115769969941766,0.07540415603058795,0.10631562700497231,1.0
all_primary_pairs,raw_action_validity,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_compliance_rate,similarity_to_best_active,Similarity-to-best-active baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,feasible_utility,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,1.5473076923076918,0.5072266483516502,2.5378021978021956,0.9985
all_primary_pairs,ndcg_at_k,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.027134976888202194,0.012774320470592442,0.040651328986526326,1.0
all_primary_pairs,action_validity,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,compliance_rate,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_feasible_utility,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,1.5473076923076918,0.5072266483516502,2.5378021978021956,0.9985
all_primary_pairs,raw_ndcg_at_k,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.027134976888202194,0.012774320470592442,0.040651328986526326,1.0
all_primary_pairs,raw_action_validity,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_compliance_rate,random_valid,Random valid baseline,rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
